Frame,Sensor,Position X,Position Y,Position Z,Quaternion W,Quaternion X,Quaternion Y,Quaternion Z
1,Ground,-5.13925838470459,11.009160995483398,-1.904532790184021,0.8800892233848572,0.4236271381378174,0.09300464391708374,0.19321797788143158
2,Ground,-5.161818504333496,11.054791450500488,-1.9073728322982788,0.8816658854484558,0.42401397228240967,0.0897451788187027,0.18661004304885864
3,Ground,-5.183343887329102,11.100889205932617,-1.910260558128357,0.8832712173461914,0.4243945777416229,0.08631422370672226,0.1796415001153946
4,Ground,-5.204155445098877,11.147336959838867,-1.9131828546524048,0.8848732709884644,0.4247627258300781,0.08276281505823135,0.17241297662258148
5,Ground,-5.224717140197754,11.19387435913086,-1.916115403175354,0.8864306211471558,0.4251115620136261,0.07917077094316483,0.16508466005325317
6,Ground,-5.243578910827637,11.241140365600586,-1.9191259145736694,0.8880537152290344,0.4254559576511383,0.0752679631114006,0.15710674226284027
7,Ground,-5.2624287605285645,11.288378715515137,-1.922134518623352,0.8895984292030334,0.42577388882637024,0.07137171924114227,0.14912182092666626
8,Ground,-5.279841423034668,11.336182594299316,-1.9252070188522339,0.8911715149879456,0.4260786771774292,0.06719893962144852,0.14055100083351135
9,Ground,-5.296509265899658,11.384245872497559,-1.928310513496399,0.8927056193351746,0.426359087228775,0.06289050728082657,0.13167940080165863
10,Ground,-5.312690258026123,11.432478904724121,-1.9314347505569458,0.8941782712936401,0.42661139369010925,0.05848560482263565,0.12258594483137131
11,Ground,-5.326887607574463,11.481324195861816,-1.934637427330017,0.8956758975982666,0.4268409311771393,0.05368320643901825,0.11264795064926147
12,Ground,-5.341089248657227,11.530183792114258,-1.9378410577774048,0.8970547914505005,0.4270320534706116,0.0488869808614254,0.10269556939601898
13,Ground,-5.353215217590332,11.579575538635254,-1.9411216974258423,0.8984345197677612,0.427188515663147,0.04363420233130455,0.09176856279373169
14,Ground,-5.364594459533691,11.629142761230469,-1.944428563117981,0.8997084498405457,0.4272995889186859,0.03822685778141022,0.08048926293849945
15,Ground,-5.375087738037109,11.678897857666016,-1.9477664232254028,0.9008711576461792,0.42736074328422546,0.03262457996606827,0.06877221912145615
16,Ground,-5.383216857910156,11.729109764099121,-1.9511836767196655,0.9019615650177002,0.42736050486564636,0.02649327926337719,0.05591512843966484
17,Ground,-5.391341686248779,11.779291152954102,-1.9545985460281372,0.9028539061546326,0.42729997634887695,0.02037983015179634,0.04306110367178917
18,Ground,-5.3964409828186035,11.829870223999023,-1.9581044912338257,0.9036163091659546,0.4271545708179474,0.013626203872263432,0.02882530726492405
